tau_g,tau_v,efficiency,fake_rate,source
0.3,0.1,0.9316,0.3128,warm
0.5,0.2,0.9284,0.2018,warm
0.7,0.4,0.86,0.1178,warm
0.3152,0.5275,0.7916666666666666,0.275019109249115,ehvi_r0
0.2224,0.1111,0.9348290598290598,0.3910386860370636,ehvi_r0
0.7583,0.6407,0.5715811965811965,0.13025780022144318,ehvi_r0
0.6238,0.568,0.719017094017094,0.1342351734638214,ehvi_r0
0.0852,0.372,0.8995726495726496,0.5654118657112122,ehvi_r0
0.7423,0.1287,0.9049145299145299,0.17660728096961975,ehvi_r0
0.7426,0.1286,0.9081196581196581,0.15433071553707123,ehvi_r0
0.7434,0.128,0.9027777777777778,0.16640624403953552,ehvi_r0
0.6909,0.95,0.2467948717948718,0.17272727191448212,ehvi_r1
0.6909,0.95,0.2467948717948718,0.17272727191448212,ehvi_r1
0.6909,0.95,0.2467948717948718,0.1646706610918045,ehvi_r1
0.6909,0.95,0.25,0.16566264629364014,ehvi_r1
0.6909,0.95,0.24358974358974358,0.1801242232322693,ehvi_r1
0.6909,0.95,0.24358974358974358,0.1801242232322693,ehvi_r1
0.6909,0.95,0.24572649572649571,0.16564416885375977,ehvi_r1
0.6909,0.95,0.24572649572649571,0.16564416885375977,ehvi_r1
0.2628,0.1691,0.9326923076923077,0.34188511967658997,ehvi_r2
0.2626,0.1691,0.9337606837606838,0.3412874639034271,ehvi_r2
0.2627,0.1691,0.9294871794871795,0.3398328721523285,ehvi_r2
0.2627,0.1691,0.9348290598290598,0.3331473171710968,ehvi_r2
0.2626,0.1691,0.9316239316239316,0.32590052485466003,ehvi_r2
0.2628,0.1691,0.9326923076923077,0.3333333432674408,ehvi_r2
0.2626,0.1691,0.9316239316239316,0.3429844081401825,ehvi_r2
0.2626,0.1691,0.9316239316239316,0.3390868604183197,ehvi_r2
0.697,0.4907,0.8034188034188035,0.10773751139640808,ehvi_r3
0.697,0.4907,0.7970085470085471,0.12218964099884033,ehvi_r3
0.697,0.4907,0.7970085470085471,0.12218964099884033,ehvi_r3
0.697,0.4908,0.8034188034188035,0.10696761310100555,ehvi_r3
0.697,0.4907,0.8012820512820513,0.1053149625658989,ehvi_r3
0.697,0.4908,0.7970085470085471,0.11568627506494522,ehvi_r3
0.697,0.4908,0.7970085470085471,0.11568627506494522,ehvi_r3
0.6971,0.4908,0.8034188034188035,0.11100196093320847,ehvi_r3
0.6756,0.2822,0.907051282051282,0.12613354623317719,ehvi_r4
0.6756,0.2818,0.9038461538461539,0.12913906574249268,ehvi_r4
0.6754,0.2812,0.9038461538461539,0.12975206971168518,ehvi_r4
0.6754,0.2812,0.9091880341880342,0.12520457804203033,ehvi_r4
0.6756,0.2818,0.9091880341880342,0.12602292001247406,ehvi_r4
0.6756,0.2818,0.9081196581196581,0.1215880885720253,ehvi_r4
0.6756,0.2818,0.9081196581196581,0.1215880885720253,ehvi_r4
0.6755,0.2817,0.9081196581196581,0.12106136232614517,ehvi_r4
