tau_g,tau_v,efficiency,fake_rate,duplicate_rate_pre_ambi,duplicate_rate_post_ambi,runtime_per_event_s,gate_calls,value_calls,wall_seconds
0.3,0.1,0.8205128205128205,0.8473763465881348,0.008203597739338875,0.0,170.392658529,2541947.0,6486270.0,
0.3,0.2,0.8311965811965812,0.835425615310669,0.008425838313996792,0.0,143.024861408,2214337.0,5097277.0,
0.3,0.4,0.7478632478632479,0.8457028269767761,0.007125746924430132,0.0,124.403950524,2012725.0,3935662.0,
0.5,0.1,0.8418803418803419,0.8439828157424927,0.00623626122251153,0.0,189.962826483,2814584.0,7311203.0,
0.5,0.2,0.8301282051282052,0.8350614309310913,0.0060650985687971115,0.0,159.24595748,2420404.0,5827785.0,
0.5,0.4,0.7564102564102564,0.8298232555389404,0.005364630371332169,0.0,142.366350148,2223047.0,4812108.0,
0.7,0.1,0.8408119658119658,0.8429690003395081,0.005961182527244091,0.0,202.609486664,2960051.0,7584252.0,
0.7,0.2,0.8247863247863247,0.8509260416030884,0.005595157388597727,0.0,167.250542048,2538550.0,6088964.0,
0.7,0.4,0.7425213675213675,0.8450627326965332,0.004935204051434994,0.0,151.921538208,2344390.0,5163888.0,
0.9,0.1,0.7232905982905983,0.8655742406845093,0.005672438070178032,0.00015172205166891217,209.39983801,3087993.0,7644545.0,
0.9,0.2,0.7051282051282052,0.8694505095481873,0.005163425114005804,0.00031046257936395705,178.352135451,2680406.0,6298639.0,
0.9,0.4,0.6388888888888888,0.8920208811759949,0.004202459007501602,0.0,165.611784332,2502645.0,5506696.0,
