tau_g,tau_v,efficiency,fake_rate,source
0.3,0.1,0.8205128205128205,0.8473763465881348,warm
0.3,0.2,0.8311965811965812,0.835425615310669,warm
0.3,0.4,0.7478632478632479,0.8457028269767761,warm
0.5,0.1,0.8418803418803419,0.8439828157424927,warm
0.5,0.2,0.8301282051282052,0.8350614309310913,warm
0.5,0.4,0.7564102564102564,0.8298232555389404,warm
0.7,0.1,0.8408119658119658,0.8429690003395081,warm
0.7,0.2,0.8247863247863247,0.8509260416030884,warm
0.7,0.4,0.7425213675213675,0.8450627326965332,warm
0.9,0.1,0.7232905982905983,0.8655742406845093,warm
0.9,0.2,0.7051282051282052,0.8694505095481873,warm
0.9,0.4,0.6388888888888888,0.8920208811759949,warm
0.6141,0.0902,0.8345784418356457,0.8450663089752197,ehvi_r0
0.6141,0.0904,0.8311965811965812,0.8448680639266968,ehvi_r0
0.4133,0.2662,0.8087606837606838,0.845140278339386,ehvi_r0
0.6141,0.0903,0.0,1.0,fail_j57654992
0.6141,0.0903,0.8450854700854701,0.8531411290168762,ehvi_r0
0.6141,0.0903,0.842948717948718,0.8502785563468933,ehvi_r0
0.6141,0.0903,0.8461538461538461,0.8513438701629639,ehvi_r0
0.6141,0.0903,0.8525641025641025,0.8430710434913635,ehvi_r0
0.05,0.95,0.14102564102564102,0.9398722052574158,ehvi_r1
0.05,0.95,0.14102564102564102,0.9398722052574158,ehvi_r1
0.05,0.95,0.14102564102564102,0.9398722052574158,ehvi_r1
0.05,0.95,0.14102564102564102,0.9398722052574158,ehvi_r1
0.05,0.95,0.14102564102564102,0.9398722052574158,ehvi_r1
0.05,0.95,0.14102564102564102,0.9398722052574158,ehvi_r1
0.05,0.95,0.14102564102564102,0.9398722052574158,ehvi_r1
0.05,0.95,0.1420940170940171,0.9397270679473877,ehvi_r1
0.05,0.2506,0.7478632478632479,0.8424859642982483,ehvi_r2
0.05,0.2506,0.7553418803418803,0.8407418131828308,ehvi_r2
0.05,0.2509,0.7596153846153846,0.8401530981063843,ehvi_r2
0.05,0.251,0.7574786324786325,0.8404709100723267,ehvi_r2
0.05,0.2507,0.7574786324786325,0.8403534889221191,ehvi_r2
0.05,0.251,0.7574786324786325,0.8404709100723267,ehvi_r2
0.05,0.2509,0.7574786324786325,0.8431887626647949,ehvi_r2
0.05,0.2507,0.7574786324786325,0.8403534889221191,ehvi_r2
0.05,0.05,0.7136752136752137,0.8778896331787109,ehvi_r3
0.05,0.05,0.7158119658119658,0.8775779008865356,ehvi_r3
0.05,0.3818,0.7104700854700855,0.8139134049415588,ehvi_r3
0.05,0.05,0.7136752136752137,0.8778896331787109,ehvi_r3
0.05,0.05,0.7136752136752137,0.8778896331787109,ehvi_r3
0.05,0.05,0.7136752136752137,0.8778896331787109,ehvi_r3
0.05,0.05,0.7136752136752137,0.8778896331787109,ehvi_r3
0.05,0.05,0.7136752136752137,0.8778896331787109,ehvi_r3
0.05,0.4381,0.6816239316239316,0.7980599403381348,ehvi_r4
0.05,0.4431,0.6826923076923077,0.7958314418792725,ehvi_r4
0.05,0.4432,0.6826923076923077,0.7957398891448975,ehvi_r4
0.05,0.4378,0.6816239316239316,0.798104465007782,ehvi_r4
0.05,0.4399,0.6848290598290598,0.7962675094604492,ehvi_r4
0.05,0.4415,0.6816239316239316,0.7951077222824097,ehvi_r4
0.05,0.4421,0.6891025641025641,0.811475396156311,ehvi_r4
0.05,0.4403,0.6858974358974359,0.8012126684188843,ehvi_r4
