num_seeds_per_spm,seed_minPt,seed_impactMax,score,fail,efficiency,fakerate,duplicaterate,runtime,wall_time,xopt_runtime,xopt_error,inv_score
28.76195531387272,0.8064450125275766,1.959794798774042,-79.64486703276634,0.0,82.45993852615356,2.8150714933872223,0.0,117.67342805862427,117.67342805862427,161.239788648,False,79.64486703276634
27.384417072913624,0.7316597344062514,8.37355832232391,-83.99018198251724,0.0,87.32495903968811,3.334777057170868,0.014436263882089406,99.9355058670044,99.9355058670044,106.869109418,False,83.99018198251724
44.47707571488813,0.838330749236402,1.2961321989698606,-77.0896464586258,0.0,79.32726740837097,2.2376209497451782,0.0,107.29490041732788,107.29490041732788,117.35422994299999,False,77.0896464586258
48.99721696458734,1.405190816898538,5.084469277415254,-42.774650640785694,0.0,44.91121768951416,2.136567048728466,0.0,81.05454301834106,81.05454301834106,88.850856408,False,42.774650640785694
66.23542579386928,1.0074942970746776,7.231987252671719,-65.4540192335844,0.0,69.0919578075409,3.6379385739564896,0.014436263882089406,146.25763845443726,146.25763845443726,147.405240826,False,65.4540192335844
75.28971729327066,1.190449934457776,8.384699103595763,-54.04937472194433,0.0,57.08099007606506,3.0316153541207314,0.0,166.20240259170532,166.20240259170532,168.003132557,False,54.04937472194433
73.78717475561776,0.9619296128518958,5.212814738240789,-67.96593144536018,0.0,72.02252149581909,4.056590050458908,0.014436263882089406,159.7694432735443,159.7694432735443,171.981113186,False,67.96593144536018
67.43878408163951,0.4442687258820455,2.2307373081656587,-86.213368922472,0.0,90.3132677078247,4.099898785352707,0.014436263882089406,288.44068360328674,288.44068360328674,305.113516688,False,86.213368922472
50.0234925044437,0.5118787890676558,10.0,-85.53486540913582,0.0,89.54814672470093,4.013281315565109,0.04330879310145974,184.76139163970947,184.76139163970947,190.63469826900007,False,85.53486540913582
71.46970210325156,1.9951759987195636,1.601860775628614,-22.11635638959706,0.0,22.650498151779175,0.5341417621821165,0.0,31.958152770996094,31.958152770996094,38.83806185999998,False,22.11635638959706
15.130432113530725,0.5183619011546924,2.16150959686424,-86.77638471126556,0.0,88.99956941604614,2.2231847047805786,0.0,90.87046360969543,90.87046360969543,101.02272805500007,False,86.77638471126556
1.0,0.46359172918093433,10.0,-68.05254686623812,0.0,69.0342128276825,0.9816659614443779,0.0,39.124815464019775,39.124815464019775,48.96660561099998,False,68.05254686623812
32.56007080519511,1.6438094941553072,9.342459271611022,-33.564312011003494,0.0,35.22448241710663,1.6601704061031342,0.0,68.88372206687927,68.88372206687927,70.66812361400002,False,33.564312011003494
74.39571902362886,0.6144095238158077,6.831060222051248,-85.01515947282314,0.0,89.76469039916992,4.749530926346779,0.028872527764178813,307.6264464855194,307.6264464855194,318.015413566,False,85.01515947282314
47.16922945338037,0.5823386893747303,3.206163287725705,-86.22780553996563,0.0,89.89461660385132,3.666811063885689,0.014436263882089406,146.10978150367737,146.10978150367737,152.734322293,False,86.22780553996563
65.39364017825581,1.2073754097033746,9.966585702581241,-53.269811533391476,0.0,56.22924566268921,2.9594341292977333,0.0,118.64334082603455,118.64334082603455,125.17590567499997,False,53.269811533391476
10.020899301166931,2.0,2.436682145611024,-23.559982189908624,0.0,24.23848658800125,0.6785043980926275,0.0,33.73255658149719,33.73255658149719,40.859358339000096,False,23.559982189908624
73.1499743525129,0.3,7.085450656854998,-85.44824793934822,0.0,89.28829431533813,3.840046375989914,0.014436263882089406,288.954487323761,288.954487323761,296.11714467900015,False,85.44824793934822
12.443117985305983,0.3,1.0,-84.82748586684465,0.0,86.90630793571472,2.0788220688700676,0.0,96.79781460762024,96.79781460762024,105.70162976000006,False,84.82748586684465
45.72148561336723,0.48002747461195366,4.449055866503253,-86.1989326775074,0.0,90.08228778839111,3.8833551108837128,0.028872527764178813,163.4202103614807,163.4202103614807,175.92026700500003,False,86.1989326775074
53.69569524251818,0.47272215418818203,5.780797262561924,-85.91020777821541,0.0,89.99567031860352,4.085462540388107,0.028872527764178813,192.5265417098999,192.5265417098999,199.80828654099992,False,85.91020777821541
16.912569271798887,1.5719905730906232,8.722776191282307,-35.59982553124428,0.0,37.30330467224121,1.703479140996933,0.0,51.36880660057068,51.36880660057068,57.589222903999826,False,35.59982553124428
36.63159833891421,0.4277341590101712,1.0,-86.99292782694101,0.0,89.70694541931152,2.71401759237051,0.0,126.0485589504242,126.0485589504242,135.919981173,False,86.99292782694101
28.377386342970883,1.4116520727147635,2.465936124040525,-41.74967501312494,0.0,43.337664008140564,1.5879889950156212,0.0,73.71828651428223,73.71828651428223,82.35601460999987,False,41.74967501312494
